from_id,to_id,distancia_km,tiempo_min
0,1,9.4123,18.82
0,2,11.1483,22.3
0,3,5.2516,10.5
0,4,14.4452,28.89
0,5,13.1702,26.34
0,6,11.4242,22.85
0,7,2.9011,5.8
0,8,6.9515,13.9
0,9,0.648,1.3
0,10,2.2671,4.53
0,11,10.1066,20.21
0,12,10.9609,21.92
0,13,14.3345,28.67
0,14,4.8419,9.68
0,15,5.446,10.89
0,16,6.997,13.99
0,17,2.7849,5.57
0,18,1.9109,3.82
0,19,7.0664,14.13
1,0,9.4123,18.82
1,2,17.8976,35.8
1,3,5.5402,11.08
1,4,7.4358,14.87
1,5,19.2365,38.47
1,6,12.4397,24.88
1,7,6.5244,13.05
1,8,2.5344,5.07
1,9,9.8253,19.65
1,10,10.6231,21.25
1,11,18.6393,37.28
1,12,9.4718,18.94
1,13,10.3655,20.73
1,14,5.0033,10.01
1,15,12.9688,25.94
1,16,16.242,32.48
1,17,9.2702,18.54
1,18,10.0717,20.14
1,19,3.5792,7.16
2,0,11.1483,22.3
2,1,17.8976,35.8
2,3,15.9446,31.89
2,4,18.7999,37.6
2,5,21.4312,42.86
2,6,22.4187,44.84
2,7,12.701,25.4
2,8,16.1775,32.36
2,9,11.3978,22.8
2,10,8.8887,17.78
2,11,4.649,9.3
2,12,22.0926,44.19
2,13,15.6411,31.28
2,14,15.1041,30.21
2,15,5.7066,11.41
2,16,11.6131,23.23
2,17,9.2778,18.56
2,18,12.5594,25.12
2,19,17.1667,34.33
3,0,5.2516,10.5
3,1,5.5402,11.08
3,2,15.9446,31.89
3,4,12.4216,24.84
3,5,13.805,27.61
3,6,8.3381,16.68
3,7,3.3082,6.62
3,8,3.1942,6.39
3,9,5.3794,10.76
3,10,7.2552,14.51
3,11,15.348,30.7
3,12,6.5618,13.12
3,13,14.059,28.12
3,14,1.1976,2.4
3,15,10.3164,20.63
3,16,11.266,22.53
3,17,6.6869,13.37
3,18,5.091,10.18
3,19,2.1626,4.33
4,0,14.4452,28.89
4,1,7.4358,14.87
4,2,18.7999,37.6
4,3,12.4216,24.84
4,5,26.1894,52.38
4,6,19.8745,39.75
4,7,11.8198,23.64
4,8,9.2547,18.51
4,9,15.0361,30.07
4,10,14.601,29.2
4,11,21.1944,42.39
4,12,16.8616,33.72
4,13,4.7742,9.55
4,14,11.5033,23.01
4,15,15.6146,31.23
4,16,21.3617,42.72
4,17,12.8926,25.79
4,18,15.7869,31.57
4,19,10.8338,21.67
5,0,13.1702,26.34
5,1,19.2365,38.47
5,2,21.4312,42.86
5,3,13.805,27.61
5,4,26.1894,52.38
5,6,9.2053,18.41
5,7,14.8492,29.7
5,8,16.9991,34.0
5,9,12.5377,25.08
5,10,14.6629,29.33
5,11,17.7769,35.55
5,12,12.4035,24.81
5,13,27.1691,54.34
5,14,14.6869,29.37
5,15,16.8951,33.79
5,16,9.9087,19.82
5,17,15.883,31.77
5,18,11.3004,22.6
5,19,15.6604,31.32
6,0,11.4242,22.85
6,1,12.4397,24.88
6,2,22.4187,44.84
6,3,8.3381,16.68
6,4,19.8745,39.75
6,5,9.2053,18.41
6,7,11.1428,22.29
6,8,10.9585,21.92
6,9,11.07,22.14
6,10,13.667,27.33
6,11,20.3605,40.72
6,12,3.496,6.99
6,13,22.2243,44.45
6,14,9.5334,19.07
6,15,16.7929,33.59
6,16,13.4855,26.97
6,17,13.9281,27.86
6,18,9.8605,19.72
6,19,9.1884,18.38
7,0,2.9011,5.8
7,1,6.5244,13.05
7,2,12.701,25.4
7,3,3.3082,6.62
7,4,11.8198,23.64
7,5,14.8492,29.7
7,6,11.1428,22.29
7,8,4.109,8.22
7,9,3.3738,6.75
7,10,4.3011,8.6
7,11,12.4928,24.99
7,12,9.8032,19.61
7,13,12.3205,24.64
7,14,2.4066,4.81
7,15,7.1578,14.32
7,16,9.853,19.71
7,17,3.4233,6.85
7,18,3.9676,7.94
7,19,4.5591,9.12
8,0,6.9515,13.9
8,1,2.5344,5.07
8,2,16.1775,32.36
8,3,3.1942,6.39
8,4,9.2547,18.51
8,5,16.9991,34.0
8,6,10.9585,21.92
8,7,4.109,8.22
8,9,7.3317,14.66
8,10,8.3459,16.69
8,11,16.4873,32.97
8,12,8.4551,16.91
8,13,11.2754,22.55
8,14,2.4877,4.98
8,15,10.9414,21.88
8,16,13.7182,27.44
8,17,7.1591,14.32
8,18,7.5381,15.08
8,19,1.8072,3.61
9,0,0.648,1.3
9,1,9.8253,19.65
9,2,11.3978,22.8
9,3,5.3794,10.76
9,4,15.0361,30.07
9,5,12.5377,25.08
9,6,11.07,22.14
9,7,3.3738,6.75
9,8,7.3317,14.66
9,10,2.6107,5.22
9,11,10.0875,20.18
9,12,10.7927,21.59
9,13,14.9794,29.96
9,14,5.1075,10.22
9,15,5.728,11.46
9,16,6.4794,12.96
9,17,3.3767,6.75
9,18,1.3402,2.68
9,19,7.3032,14.61
10,0,2.2671,4.53
10,1,10.6231,21.25
10,2,8.8887,17.78
10,3,7.2552,14.51
10,4,14.601,29.2
10,5,14.6629,29.33
10,6,13.667,27.33
10,7,4.3011,8.6
10,8,8.3459,16.69
10,9,2.6107,5.22
10,11,8.1938,16.39
10,12,13.2068,26.41
10,13,13.7398,27.48
10,14,6.6199,13.24
10,15,3.1827,6.37
10,16,6.9683,13.94
10,17,1.7188,3.44
10,18,3.91,7.82
10,19,8.8319,17.66
11,0,10.1066,20.21
11,1,18.6393,37.28
11,2,4.649,9.3
11,3,15.348,30.7
11,4,21.1944,42.39
11,5,17.7769,35.55
11,6,20.3605,40.72
11,7,12.4928,24.99
11,8,16.4873,32.97
11,9,10.0875,20.18
11,10,8.1938,16.39
11,12,20.741,41.48
11,13,18.8136,37.63
11,14,14.8012,29.6
11,15,5.7541,11.51
11,16,7.8939,15.79
