id,nombre,lat,lon,demanda,ventana_inicio,ventana_fin,tiempo_servicio
0,Depósito Central Trujillo,-8.1117,-79.0288,0,08:00,18:00,0
1,Punto 1 - Mansiche,-8.086767000211962,-79.02242534851788,1,11:00,13:00,14
2,Punto 2 - El Porvenir,-8.066889111730823,-79.00187687213415,2,11:00,17:00,10
3,Punto 3 - Florencia,-8.061386165695524,-79.0,4,10:00,16:00,11
4,Punto 4 - Larco,-8.132154173035943,-79.04697933342821,1,10:00,13:00,13
5,Punto 5 - Centro,-8.109330595325975,-79.02562348373579,5,11:00,18:00,26
6,Punto 6 - Mansiche,-8.090728548069542,-79.0235664180583,1,11:00,16:00,18
7,Punto 7 - Larco,-8.132815717514934,-79.05446602303401,2,09:00,17:00,17
8,Punto 8 - Mansiche,-8.085650812720582,-79.02153123145398,2,11:00,15:00,20
9,Punto 9 - Florencia,-8.061701689006565,-79.0,3,09:00,17:00,21
10,Punto 10 - Florencia,-8.06,-79.0,3,08:00,18:00,25
